file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1820,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11542cf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 221)",322
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 221)",323
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 221)",324
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 220)",325
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 220)",326
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 221)",327
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 220)",328
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",329
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 221)",330
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 221)",331
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",332
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",333
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 222)",334
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 222)",335
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",336
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",337
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",338
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",339
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",340
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",341
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",342
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",343
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",344
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",345
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",346
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",347
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",348
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",349
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",350
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",351
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",352
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 220)",353
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",354
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 221)",355
"GP010016_fast.mp4_uca_cc01(291, 205)","(252, 220)",356
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",357
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",358
"GP010016_fast.mp4_uca_cc01(291, 205)","(251, 221)",359
